Column1,Column2
27,0
80,0
329,0
378,0
417,0
467,0
525,0
560,0
567,0
617,0
667,0
706,0
717,0
718,0
750,0
756,0
775,0
803,0
805,0
852,0
853,0
854,0
903,0
904,0
951,0
952,0
1008,0
1013,0
1020,0
1021,0
1022,0
1037,0
1062,0
1063,0
1071,0
1072,0
1084,0
1087,0
1088,0
1101,0
1123,0
1130,0
1137,0
1138,0
1139,0
1142,0
1145,5
1151,0
1152,0
1187,0
1194,5
1200,0
1201,0
1202,0
1208,0
1214,0
1250,0
1251,0
1252,0
1257,0
1268,0
1290,0
1298,20
1299,20
1300,0
1302,0
1303,0
1318,0
1347,20
1348,20
1351,0
1353,0
1354,0
1367,0
1390,0
1397,20
1398,20
1437,0
1443,5
1444,10
1445,15
1446,15
1447,20
1448,20
1453,0
1470,0
1482,0
1486,0
1487,0
1488,0
1492,5
1493,5
1494,10
1496,20
1514,0
1538,0
1540,0
1541,5
1542,5
1545,15
1570,0
1587,0
1591,5
1592,5
1593,10
1638,0
1640,5
1641,5
1642,5
1643,15
1644,15
1675,0
1676,0
1682,0
1687,0
1688,0
1690,5
1691,5
1692,15
1693,15
1725,0
1726,0
1728,0
1730,0
1734,0
1735,0
1739,5
1740,5
1741,10
1743,15
1782,0
1784,0
1785,0
1789,5
1791,15
1815,0
1816,0
1837,5
1838,5
1936,5
1968,0
1985,5
2013,0
2027,0
2036,5
2072,0
2076,0
2084,5
2175,0
2176,0
2232,5
2281,5
2431,15
2478,10
2481,20
