1138,20
1250,16
1251,16
1252,16
1302,16
1303,12
1353,12
1354,12
1675,12
1784,20
1101,13
1200,13
1300,13
1676,13
1137,14
1444,11
1486,9
1487,8
1690,9
1734,16
1735,16
1785,9
1008,9
1062,6
1072,3
1816,9
1201,11
706,9
1151,9
1152,8
1725,6
1968,7
1087,4
1290,3
1298,7
1448,5
1540,6
1592,7
1688,4
2175,4
2176,7
2232,3
1514,4
805,5
1453,5
1538,2
1730,2
1782,2
1985,2
2481,2
417,2
560,3
756,4
775,2
803,4
854,4
1130,3
1202,4
1208,2
1351,4
1570,2
1815,3
852,2
853,2
1257,1
1726,2
2013,2
903,1
904,1
951,1
952,1
1084,1
1482,1
1728,1
750,1
1037,1
1088,1
1139,1
1142,1
1187,1
1347,1
1390,1
1437,1
1445,1
1488,1
1493,1
1542,1
1587,1
1593,1
1638,1
1682,1
1687,1
1692,1
1693,1
1741,1
1936,1
2027,1
2072,1
2076,1
717,0
1020,0
1063,0
1545,0
1492,0
1268,0
80,0
1348,0
2036,0
1791,0
1591,0
1194,0
1299,0
1691,0
525,0
2431,0
1398,0
1071,0
378,0
1838,0
27,0
1470,0
667,0
1145,0
1367,0
1541,0
1739,0
567,0
617,0
1743,0
1494,0
1214,0
1021,0
1443,0
467,0
1837,0
1740,0
1642,0
329,0
1496,0
1643,0
1318,0
1123,0
1013,0
1640,0
1446,0
2281,0
2084,0
718,0
2478,0
1789,0
1641,0
1397,0
1447,0
1644,0
1022,0
